EST	Max TemperatureF	Mean TemperatureF	Min TemperatureF	Max Dew PointF	MeanDew PointF	Min DewpointF	Max Humidity	 Mean Humidity	 Min Humidity	 Max Sea Level PressureIn	 Mean Sea Level PressureIn	 Min Sea Level PressureIn	 Max VisibilityMiles	 Mean VisibilityMiles	 Min VisibilityMiles	 Max Wind SpeedMPH	 Mean Wind SpeedMPH	 Max Gust SpeedMPH	PrecipitationIn	 CloudCover	 Events	 WindDirDegrees	#
1958-12-14	26	18	10	22	12	-2	84	67	53				15	6	1	10	6		0	0	Snow	18	#
1958-12-15	27	22	18	20	11	1	75	58	41				15	10	6	26	11		0	0		296	#
1958-12-16	28	22	17	10	5	1	65	49	37				15	14	10	23	14		0	0		275	#
1958-12-17	41	31	21	25	16	5	74	54	39				15	10	7	18	8		0			224	#
1958-12-18	39	32	24	22	17	11	66	56	38				15	14	10	15	11		0	0		307	#
1958-12-19	46	31	16	30	22	11	89	67	46				8	6	2	16	7		0	0	Fog	205	#
1958-12-20	37	26	16	32	10	-11	89	50	24				15	12	4	25	11		0	0	Rain	332	#
1958-12-21	28	19	10	10	1	-14	80	46	27				15	15	10	20	10		0	0	Snow	300	#
1958-12-22	28	17	6	15	3	-7	70	51	31				15	11	3	16	7		0	0		230	#
1958-12-23	51	40	28	44	31	19	86	71	52				10	6	3	15	11		0	0		245	#
1958-12-24	41	34	27	32	25	13	79	64	43				15	10	6	20	12		0			341	#
1958-12-25	25	20	14	12	3	-4	63	49	32				15	15	15	20	14		0	0		322	#
1958-12-26	35	24	14	16	8	1	75	57	42				15	12	6	12	9		0	0		290	#
1958-12-27	37	22	8	21	12	1	83	66	41				15	6	2	12	5		0	0	Fog	202	#
1958-12-28	48	37	26	31	23	17	78	59	37				15	8	4	16	6		0		Rain	52	#
1958-12-29	41	39	37	37	32	28	93	76	67				10	6	2	22	17		0		Fog-Rain	42	#
1958-12-30	54	44	32	38	32	24	93	72	47				10	9	6	23	15		0	0	Fog	352	#
1958-12-31	36	28	19	24	15	5	81	60	28				15	15	15	18	11		0	0		1	#
